morphotype	CEL	TSL1	TSL2	TSL3	TSL4	TSL5	TSL6	TSL7	TSL8	TSL9	TSL10	TSL11	TSL12	TSL13	TSL14	TSL15	TSL16	TSL17	TSL18	TSL19	TSL20	TSL21	TSL22	PYL
14	1.9259	0.1737	0.1865	0.2018	0.189	0.1967	0.1865	0.1839	0.2069	0.1916	0.1558	0.1609	0.1711	0.1303	0.1149	NA	NA	NA	NA	NA	NA	NA	NA	0.6105
14	2.1631	0.1986	0.2012	0.2381	0.2439	0.2495	0.241	0.2552	0.2296	0.2325	0.207	0.1956	0.1786	0.1672	0.1503	NA	NA	NA	NA	NA	NA	NA	NA	0.652
14	2.1621	0.1722	0.1905	0.225	0.225	0.2181	0.2387	0.2272	0.218	0.2158	0.2043	0.1905	0.163	0.1377	0.1446	NA	NA	NA	NA	NA	NA	NA	NA	0.6266
14	2.1035	0.1803	0.2027	0.2164	0.2304	0.2304	0.1943	0.1915	0.2138	0.1803	0.183	0.1749	0.1498	0.1471	0.1332	NA	NA	NA	NA	NA	NA	NA	NA	0.519
14	1.9223	0.155	0.1628	0.1869	0.1843	0.2029	0.1816	0.1815	0.1816	0.1683	0.1575	0.1495	0.1495	0.1201	0.0961	NA	NA	NA	NA	NA	NA	NA	NA	0.454
14	2.0582	0.142	0.1893	0.1998	0.1919	0.1998	0.205	0.1919	0.205	0.1787	0.1867	0.1682	0.1604	0.142	0.1236	NA	NA	NA	NA	NA	NA	NA	NA	0.5967
14	1.9609	0.1675	0.1503	0.1872	0.1921	0.1897	0.202	0.1799	0.1798	0.165	0.17	0.1478	0.1305	0.1158	0.1158	NA	NA	NA	NA	NA	NA	NA	NA	0.4311
14	1.9775	0.1486	0.1858	0.2097	0.2044	0.2017	0.1964	0.1991	0.1964	0.1672	0.1778	0.1566	0.146	0.1354	0.1115	NA	NA	NA	NA	NA	NA	NA	NA	0.4751
15	2.2892	0.175	0.167	0.2215	0.2138	0.2332	0.2215	0.2215	0.2177	0.2099	0.1982	0.1905	0.1633	0.1515	0.1709	0.1205	NA	NA	NA	NA	NA	NA	NA	0.517
15	2.3285	0.1683	0.1988	0.237	0.2179	0.2408	0.2333	0.2217	0.2179	0.1912	0.2027	0.1721	0.1796	0.1607	0.1454	0.1147	NA	NA	NA	NA	NA	NA	NA	0.5353
15	2.4869	0.2104	0.2142	0.2404	0.2329	0.2554	0.2404	0.2516	0.2367	0.2329	0.2217	0.2104	0.1915	0.1879	0.1579	0.1539	NA	NA	NA	NA	NA	NA	NA	0.6011
15	2.0259	0.1741	0.1937	0.2003	0.197	0.1937	0.2134	0.2265	0.1937	0.1739	0.1839	0.1806	0.1543	0.1445	0.1412	0.1084	NA	NA	NA	NA	NA	NA	NA	0.4794
15	2.1738	0.1954	0.2129	0.2198	0.2303	0.2094	0.2128	0.2269	0.2058	0.1919	0.2094	0.1884	0.1814	0.1536	0.143	0.1465	NA	NA	NA	NA	NA	NA	NA	0.5688
15	2.3543	0.187	0.1943	0.2421	0.2457	0.2421	0.2273	0.2273	0.22	0.2238	0.2127	0.198	0.1834	0.1614	0.1687	0.1357	NA	NA	NA	NA	NA	NA	NA	0.6307
15	2.7092	0.2013	0.2182	0.2432	0.2348	0.2559	0.2474	0.239	0.2391	0.2348	0.2055	0.1929	0.1803	0.1594	0.151	0.1594	NA	NA	NA	NA	NA	NA	NA	0.5662
15	2.6069	0.207	0.1867	0.2193	0.2355	0.2355	0.2518	0.2396	0.2234	0.2274	0.203	0.2477	0.199	0.1948	0.1462	0.1462	NA	NA	NA	NA	NA	NA	NA	0.7188
15	2.0972	0.1652	0.1651	0.1783	0.1982	0.1982	0.1883	0.2015	0.2015	0.185	0.1816	0.175	0.1618	0.1288	0.1321	0.1189	NA	NA	NA	NA	NA	NA	NA	0.4723
15	2.1751	0.1881	0.1987	0.2306	0.2236	0.2342	0.2271	0.2448	0.2058	0.2058	0.1881	0.1916	0.1774	0.1561	0.1313	0.1384	NA	NA	NA	NA	NA	NA	NA	0.5004
15	2.2092	0.1827	0.193	0.2035	0.2273	0.1964	0.1931	0.2136	0.1861	0.1826	0.1758	0.162	0.1517	0.1584	0.138	0.1067	NA	NA	NA	NA	NA	NA	NA	0.4896
15	2.0927	0.1702	0.1903	0.2135	0.1937	0.2202	0.1969	0.207	0.207	0.1869	0.1902	0.1769	0.1502	0.1436	0.1234	0.1202	NA	NA	NA	NA	NA	NA	NA	0.4137
15	1.9933	0.1652	0.1872	0.1873	0.1981	0.212	0.2065	0.19	0.1871	0.201	0.1734	0.1624	0.1789	0.1405	0.1211	0.1129	NA	NA	NA	NA	NA	NA	NA	0.534
15	2.1392	0.1783	0.2068	0.2115	0.2282	0.2353	0.221	0.2258	0.2139	0.2044	0.1997	0.1759	0.1735	0.1497	0.1521	0.1283	NA	NA	NA	NA	NA	NA	NA	0.4777
15	2.2374	0.1771	0.1857	0.2118	0.2234	0.2263	0.2147	0.2147	0.2205	0.2118	0.1944	0.177	0.1683	0.1423	0.1306	0.1277	NA	NA	NA	NA	NA	NA	NA	0.5312
15	2.3396	0.1901	0.1926	0.2308	0.247	0.2252	0.2443	0.2416	0.209	0.2225	0.1955	0.1872	0.1711	0.171	0.1303	0.1357	NA	NA	NA	NA	NA	NA	NA	0.5347
15	2.3096	0.1938	0.2075	0.2266	0.2375	0.2375	0.2402	0.2375	0.2512	0.2184	0.2075	0.202	0.1857	0.172	0.1556	0.1529	NA	NA	NA	NA	NA	NA	NA	0.576
15	2.3316	0.1667	0.1973	0.2057	0.2167	0.214	0.2168	0.2112	0.214	0.2112	0.1973	0.189	0.1806	0.1528	0.1279	0.1167	NA	NA	NA	NA	NA	NA	NA	0.5475
15	2.4359	0.1982	0.2223	0.2403	0.2433	0.2493	0.2403	0.2343	0.2373	0.2133	0.2163	0.2133	0.1832	0.1832	0.1532	0.1532	NA	NA	NA	NA	NA	NA	NA	0.6368
16	2.3275	0.1966	0.2038	0.2252	0.2181	0.2217	0.2181	0.2253	0.2109	0.2002	0.2145	0.1716	0.1788	0.1752	0.1502	0.143	0.1216	NA	NA	NA	NA	NA	NA	0.5292
16	2.2481	0.173	0.2039	0.2306	0.2483	0.2616	0.2483	0.266	0.2528	0.2439	0.2483	0.204	0.1996	0.1818	0.1818	0.1596	0.1508	NA	NA	NA	NA	NA	NA	0.5676
16	2.7491	0.2011	0.2431	0.2244	0.2525	0.2618	0.2665	0.2525	0.2384	0.2384	0.2244	0.2338	0.2151	0.187	0.1777	0.1543	0.1216	NA	NA	NA	NA	NA	NA	0.6732
16	2.4036	0.155	0.1904	0.2125	0.208	0.2611	0.2657	0.2566	0.2524	0.2611	0.2036	0.1904	0.1948	0.1593	0.1948	0.1771	0.1639	NA	NA	NA	NA	NA	NA	0.5577
16	2.6809	0.2204	0.2159	0.2249	0.2339	0.2519	0.2563	0.225	0.2384	0.2474	0.2294	0.2204	0.2069	0.171	0.1664	0.1574	0.1395	NA	NA	NA	NA	NA	NA	0.6387
16	2.5383	0.2073	0.2034	0.2151	0.2229	0.2385	0.2229	0.227	0.2151	0.2151	0.2034	0.1878	0.1798	0.1565	0.1564	0.1253	0.1251	NA	NA	NA	NA	NA	NA	0.5161
16	2.4495	0.1951	0.2159	0.2325	0.22	0.2117	0.2574	0.22	0.2366	0.2076	0.2117	0.1827	0.1993	0.1661	0.1619	0.1328	0.1121	NA	NA	NA	NA	NA	NA	0.4982
16	2.257	0.1809	0.1884	0.2223	0.2224	0.2449	0.211	0.2035	0.2186	0.1922	0.1997	0.1997	0.162	0.1658	0.1281	0.113	0.1131	NA	NA	NA	NA	NA	NA	0.4371
16	2.4142	0.2101	0.2177	0.2291	0.2522	0.2332	0.2406	0.2368	0.237	0.2253	0.2063	0.1987	0.187	0.1834	0.149	0.1451	0.1261	NA	NA	NA	NA	NA	NA	0.512
16	2.6241	0.2163	0.2324	0.2404	0.2404	0.2564	0.2524	0.2484	0.2564	0.2324	0.2404	0.2283	0.2083	0.1763	0.1723	0.1643	0.1442	NA	NA	NA	NA	NA	NA	0.5849
16	2.4119	0.2057	0.2094	0.2356	0.2431	0.2356	0.2393	0.2468	0.2281	0.2206	0.2356	0.1982	0.2132	0.187	0.1533	0.1458	0.1384	NA	NA	NA	NA	NA	NA	0.5646
16	2.3107	0.1799	0.1685	0.1971	0.2228	0.2228	0.2228	0.2199	0.2228	0.1857	0.1971	0.1971	0.1742	0.1914	0.16	0.1343	0.1285	NA	NA	NA	NA	NA	NA	0.6342
